endereco_cep,endereco_municipio,endereco_uf,endereco_regiao,endereco_mesorregiao
58412100,CAMPINA GRANDE,PB,NORDESTE,AGRESTE PARAIBANO
08410540,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
24800037,ITABORAI,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
19360000,SANTO ANASTACIO,SP,SUDESTE,PRESIDENTE PRUDENTE
95706178,BENTO GONCALVES,RS,SUL,NORDESTE RIO GRANDENSE
29943600,SAO MATEUS,ES,SUDESTE,LITORAL NORTE ESPIRITO SANTENSE
85301170,LARANJEIRAS DO SUL,PR,SUL,CENTRO SUL PARANAENSE
45938000,MUCURI,BA,NORDESTE,SUL BAIANO
37410001,TRES CORACOES,MG,SUDESTE,SUL SUDOESTE DE MINAS
68513899,MARABA,PA,NORTE,SUDESTE PARAENSE
64018285,TERESINA,PI,NORDESTE,CENTRO NORTE PIAUIENSE
31910180,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
50070495,RECIFE,PE,NORDESTE,METROPOLITANA DE RECIFE
15720000,PALMEIRA D OESTE,SP,SUDESTE,SAO JOSE DO RIO PRETO
64170000,JOAQUIM PIRES,PI,NORDESTE,NORTE PIAUIENSE
04941175,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
74360510,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
39265000,VARZEA DA PALMA,MG,SUDESTE,NORTE DE MINAS
44008440,FEIRA DE SANTANA,BA,NORDESTE,CENTRO NORTE BAIANO
89066360,BLUMENAU,SC,SUL,VALE DO ITAJAI
48360000,ACAJUTIBA,BA,NORDESTE,NORDESTE BAIANO
24440440,SAO GONCALO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
18609671,BOTUCATU,SP,SUDESTE,BAURU
05001200,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
13730970,MOCOCA,SP,SUDESTE,CAMPINAS
77803120,ARAGUAINA,TO,NORTE,OCIDENTAL DO TOCANTINS
88301600,ITAJAI,SC,SUL,VALE DO ITAJAI
53160800,OLINDA,PE,NORDESTE,METROPOLITANA DE RECIFE
88960000,SOMBRIO,SC,SUL,SUL CATARINENSE
02017030,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
09852102,SAO BERNARDO DO CAMPO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
01331010,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
13044493,CAMPINAS,SP,SUDESTE,CAMPINAS
94480500,VIAMAO,RS,SUL,METROPOLITANA DE PORTO ALEGRE
14315720,BATATAIS,SP,SUDESTE,RIBEIRAO PRETO
05435001,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
48906764,JUAZEIRO,BA,NORDESTE,VALE SAO FRANCISCANO DA BAHIA
68400000,CAMETA,PA,NORTE,NORDESTE PARAENSE
38780000,VAZANTE,MG,SUDESTE,NOROESTE DE MINAS
49025740,ARACAJU,SE,NORDESTE,LESTE SERGIPANO
90230240,PORTO ALEGRE,RS,SUL,METROPOLITANA DE PORTO ALEGRE
13088118,CAMPINAS,SP,SUDESTE,CAMPINAS
73813820,FORMOSA,GO,CENTRO-OESTE,LESTE GOIANO
90670150,PORTO ALEGRE,RS,SUL,METROPOLITANA DE PORTO ALEGRE
13486563,LIMEIRA,SP,SUDESTE,PIRACICABA
18274330,TATUI,SP,SUDESTE,ITAPETININGA
18618026,BOTUCATU,SP,SUDESTE,BAURU
80540400,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
86420970,CARLOPOLIS,PR,SUL,NORTE PIONEIRO PARANAENSE
68180470,ITAITUBA,PA,NORTE,SUDOESTE PARAENSE
42600000,MADRE DE DEUS,BA,NORDESTE,METROPOLITANA DE SALVADOR
04563010,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
58475000,QUEIMADAS,PB,NORDESTE,AGRESTE PARAIBANO
69415000,IRANDUBA,AM,NORTE,CENTRO AMAZONENSE
57071142,MACEIO,AL,NORDESTE,LESTE ALAGOANO
36048682,JUIZ DE FORA,MG,SUDESTE,ZONA DA MATA
09010160,SANTO ANDRE,SP,SUDESTE,METROPOLITANA DE SAO PAULO
55195614,SANTA CRUZ DO CAPIBARIBE,PE,NORDESTE,AGRESTE PERNAMBUCANO
31655450,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
09060020,SANTO ANDRE,SP,SUDESTE,METROPOLITANA DE SAO PAULO
60810050,FORTALEZA,CE,NORDESTE,METROPOLITANA DE FORTALEZA
47665000,SAO FELIX DO CORIBE,BA,NORDESTE,EXTREMO OESTE BAIANO
45651310,ILHEUS,BA,NORDESTE,SUL BAIANO
23821090,ITAGUAI,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
82110000,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
14340000,BRODOWSKI,SP,SUDESTE,RIBEIRAO PRETO
88790000,LAGUNA,SC,SUL,SUL CATARINENSE
44010040,FEIRA DE SANTANA,BA,NORDESTE,CENTRO NORTE BAIANO
44250000,CORACAO DE MARIA,BA,NORDESTE,CENTRO NORTE BAIANO
89070270,BLUMENAU,SC,SUL,VALE DO ITAJAI
29650000,SANTA TERESA,ES,SUDESTE,CENTRAL ESPIRITO SANTENSE
13098319,CAMPINAS,SP,SUDESTE,CAMPINAS
30692420,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
81070090,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
08235790,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
60430540,FORTALEZA,CE,NORDESTE,METROPOLITANA DE FORTALEZA
77816060,ARAGUAINA,TO,NORTE,OCIDENTAL DO TOCANTINS
32260300,CONTAGEM,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
81670000,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
22783025,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
48520000,CANUDOS,BA,NORDESTE,NORDESTE BAIANO
02550020,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
16076010,ARACATUBA,SP,SUDESTE,ARACATUBA
18430000,RIBEIRAO BRANCO,SP,SUDESTE,ITAPETININGA
11533160,CUBATAO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
45480000,MUTUIPE,BA,NORDESTE,CENTRO SUL BAIANO
02071000,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
02411000,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
