cnpj,optante_simples,optante_simei
15107421000193,Não,Não
15217514000170,Sim,Sim
15253413000155,Sim,Sim
15271439000126,Sim,Não
15287368000150,Sim,Sim
15466144000105,Não,Não
15494559000192,Sim,Sim
15660952000109,Não,Não
15717597000167,Sim,Sim
15761008000148,Não,Não
15774612000109,Não,Não
15780520000131,Sim,Não
15798194000190,Não,Não
16422981000103,Sim,Não
16556961000117,Sim,Não
16567415000181,Sim,Sim
16596395000177,Sim,Sim
16614075000100,Não,Não
16737238000134,Sim,Não
16752433000133,Sim,Sim
16811931000100,Não,Não
16902314006401,Não,Não
16938080000241,Sim,Não
16945284000129,Não,Não
17011779000143,Não,Não
17033453000117,Não,Não
17070610000164,Sim,Sim
17071232000133,Sim,Sim
17161241000115,Não,Não
17182670000179,Sim,Não
17218295000250,Não,Não
17232347000162,Sim,Sim
17239595000135,Sim,Sim
17311471000113,Sim,Não
17387302000167,Sim,Não
17410830000190,Sim,Não
17449429000163,Sim,Sim
17465537000120,Sim,Não
17466371000166,Não,Não
17495895000185,Sim,Não
17509133000190,Sim,Sim
17528330000157,Não,Não
17804665000150,Sim,Não
17835082000197,Sim,Sim
18011256000160,Sim,Não
18150253000107,Sim,Sim
18172329000103,Sim,Sim
18183935000116,Sim,Sim
18189907000106,Sim,Sim
18243615000104,Não,Não
18253779000112,Não,Não
18323356000121,Sim,Sim
18352114000166,Sim,Sim
18442348000102,Sim,Não
18507155000184,Sim,Sim
18593512000174,Sim,Sim
18593815000197,Não,Não
18619025000133,Não,Não
18649090000101,Sim,Sim
18729956000194,Sim,Sim
18858266000135,Sim,Não
18882093000190,Não,Não
19040714000151,Sim,Sim
19224409000110,Sim,Sim
19328639000129,Sim,Sim
19360869000175,Sim,Sim
19372920000169,Sim,Sim
19406664000183,Sim,Não
19462615000168,Sim,Não
19462657000107,Sim,Sim
19526748000150,Não,Não
19535506000123,Sim,Não
19578007000113,Sim,Não
19716270000121,Sim,Não
19720141000107,Sim,Não
19775029000173,Sim,Sim
19785634000125,Sim,Não
19822545000101,Sim,Não
19824428000187,Não,Não
19836078000179,Não,Não
19846785000146,Não,Não
19870145000171,Sim,Sim
19921805000104,Sim,Não
20027610000196,Sim,Sim
20130782000190,Não,Não
20160724000100,Sim,Sim
20196158000277,Não,Não
20223122000154,Sim,Sim
20314377000122,Não,Não
20329056000100,Sim,Sim
20335197000127,Sim,Não
20341860000104,Não,Não
20344555000168,Sim,Sim
20353559000102,Sim,Não
20387711000178,Sim,Sim
20400711000160,Sim,Sim
20430051000160,Sim,Sim
20535054000169,Sim,Sim
20550180000192,Sim,Não
20642357000180,Sim,Sim
20684195000143,Não,Não
20730306000100,Sim,Sim
20761460000140,Sim,Sim
20782901000190,Sim,Sim
20813943000140,Sim,Sim
20819180000145,Sim,Sim
20911917000155,Sim,Sim
20947690000106,Sim,Sim
20964044000149,Sim,Não
21004231000143,Não,Não
21045775000153,Sim,Sim
21067825000101,Não,Não
21074883000154,Sim,Sim
21091578000170,Sim,Sim
21471507000101,Sim,Sim
21475315000165,Não,Não
21475435000162,Sim,Sim
21496381000111,Não,Não
21541064000170,Sim,Sim
21582629000167,Sim,Sim
21679270000140,Sim,Sim
21745758000129,Sim,Sim
21852990000166,Sim,Sim
21917608000155,Sim,Sim
21949339000109,Sim,Sim
21961806000116,Não,Não
22053229000127,Sim,Sim
22055773000108,Não,Não
22067445000121,Sim,Sim
22244477000155,Sim,Não
22418915000154,Sim,Sim
22478712000153,Sim,Não
22479591000164,Sim,Sim
22556290000197,Sim,Não
22564842000109,Sim,Não
22607886000179,Sim,Sim
22656867000132,Sim,Sim
22667346000180,Sim,Sim
22742913000116,Não,Não
22864020000224,Não informado,Não informado
22900946000147,Sim,Sim
22902338005726,Não informado,Não informado
23016883000123,Sim,Não
23033820000185,Sim,Sim
23044655000167,Sim,Sim
23108219000295,Não informado,Não informado
23131867000181,Sim,Sim
23149219000152,Sim,Não
23222770000184,Sim,Sim
23239287000102,Sim,Sim
23265671000180,Não,Não
23268180000192,Sim,Sim
23272473000143,Sim,Sim
23286346000101,Não,Não
23437161000142,Sim,Sim
23456138000103,Não,Não
23540274000179,Sim,Sim
23638442000163,Sim,Sim
23716188000174,Sim,Sim
23829541000122,Sim,Não
23873368000160,Não,Não
23879180000129,Sim,Sim
23891896000141,Sim,Não
23892100000175,Sim,Sim
23892743000119,Não,Não
24024024000149,Sim,Sim
24025471000112,Sim,Sim
24056078000196,Sim,Não
24139813000125,Sim,Não
24155987000181,Sim,Sim
24170306000154,Sim,Não
24199199000197,Não,Não
24205264000140,Sim,Sim
24230275000180,Não,Não
24235014000152,Sim,Sim
24267548000160,Sim,Sim
24279608000165,Sim,Não
24305242000151,Sim,Não
24327612000151,Sim,Não
24365549000148,Não,Não
24405116000179,Não,Não
24445860000105,Sim,Não
24501384000194,Não,Não
24525330000169,Sim,Não
24537328000100,Não,Não
24550835000183,Não,Não
24652295000149,Sim,Sim
24665939000133,Sim,Sim
24768786000150,Sim,Sim
24874375000149,Sim,Sim
24900624000123,Sim,Sim
24900830000133,Sim,Sim
24908951000121,Sim,Sim
24942397000107,Sim,Sim
24951521000192,Sim,Sim
25062770000190,Sim,Sim
25101406000191,Sim,Sim
25267254000100,Sim,Não
25271410000106,Sim,Sim
25277531000157,Não,Não
25337210000109,Sim,Não
